GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40,Jdbc40Accessors,266,0,0,0,34,0,2,0,2,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.relations,JdbcRelation,123,162,28,14,4,25,21,10,4,6
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.relations,JdbcManyToMany,115,29,26,2,3,9,19,5,5,5
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.relations,JdbcOneToOne,97,50,21,7,3,15,16,8,5,5
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.relations,JdbcManyToOne,76,26,17,1,2,8,13,5,4,5
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.relations,JdbcOneToMany,76,24,17,1,2,8,13,5,4,5
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types,JdbcTypeAccessor,105,0,16,0,16,0,16,0,8,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.utils,ListIndexerUtil,4,18,1,1,1,5,2,2,1,2
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.utils,JdbcConnectionUtil,39,0,6,0,8,0,5,0,2,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.utils,NameUtil,17,50,4,10,2,10,5,6,1,3
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc41,Jdbc41Accessors,235,0,0,0,34,0,2,0,2,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc41,Jdbc41TypeAccessor,63,0,8,0,14,0,10,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.loader,JdbcMetadataLoader.FKInfo.Table,164,0,34,0,3,0,24,0,7,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.loader,JdbcMetadataLoader.IndexInfo,91,0,16,0,3,0,14,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.loader,JdbcMetadataLoader.FKInfo,302,0,64,0,5,0,42,0,10,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.loader,JdbcMetadataLoader,1287,0,126,0,207,0,103,0,37,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc.loader,JdbcMetadataLoader.FKColInfo,118,0,24,0,2,0,18,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,ZonedDateTimeAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,OffsetTimeAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,LocalTimeAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,OffsetDateTimeAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,LocalDateTimeAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,LocalDateAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc.types.jdbc40.javatime,InstantAccessor,26,0,4,0,8,0,8,0,6,0
autodb-data-access-jdbc,org.angnysa.autodb.query.jdbc,JdbcScriptRunner,479,0,60,0,97,0,58,0,28,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,JdbcUniqueIndex,7,39,2,6,1,4,2,7,0,5
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,JdbcTable,311,302,93,23,12,38,61,20,6,17
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,JdbcColumn,206,178,63,11,5,16,41,13,4,13
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,ForeignKey.Action,0,33,0,0,0,2,0,1,0,1
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,ForeignKey,307,90,56,14,14,17,39,7,5,6
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,JdbcIndex,109,214,26,34,5,32,20,21,1,10
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,JdbcDatabase,227,0,44,0,16,0,32,0,10,0
autodb-data-access-jdbc,org.angnysa.autodb.metadata.jdbc,ForeignKey.ValidationDeferrability,0,21,0,0,0,2,0,1,0,1
